# timestamp, x, y, z, qx, qy, qz, qw
0.0,100.0,-0.3,100.0,-0.6523005246197529,0.6542603615393683,0.2710043773971568,-0.2701925837819197
500250.1250625312,99.99666630811555,-0.2999629527072288,100.00333369188445,-0.6523051167571553,0.654264790514845,0.2709934351766538,-0.2701817474148778
1000500.2501250624,99.99333343959285,-0.29985181997892785,100.00666656040715,-0.652309950139375,0.6542689766810889,0.27098239512364475,-0.2701710136837402
1500750.3751875937,99.99000221759023,-0.29966662926287563,100.00999778240977,-0.6523150236015619,0.6542729189747089,0.2709712599671765,-0.27016038523774877
2001000.5002501248,99.98667346485942,-0.29940742629783584,100.01332653514058,-0.652320335919276,0.6542766163923476,0.27096003245999456,-0.2701498647003593
2501250.625312656,99.98334800354229,-0.29907427510226414,100.01665199645771,-0.6523258858087622,0.6542800679909605,0.27094871537785997,-0.270139454668594
3001500.7503751875,99.98002665496773,-0.2986672579584915,100.01997334503227,-0.6523316719272388,0.6542832728880764,0.2709373115188612,-0.2701291577124022
3501750.8754377184,99.97671023944892,-0.2981864753924063,100.02328976055108,-0.6523376928732015,0.6542862302620462,0.27092582370272034,-0.27011897637402615
4002001.0005002497,99.97339957608062,-0.2976320461486267,100.02660042391938,-0.6523439471867424,0.6542889393522753,0.27091425477009345,-0.2701089131673748
4502251.1255627815,99.97009548253695,-0.29700410716116993,100.02990451746305,-0.6523504333498826,0.6542913994594403,0.2709026075818658,-0.2700989705774032
5002501.250625312,99.96679877486936,-0.2963028135196317,100.03320122513064,-0.6523571497869224,0.6542936099456935,0.27089088501844166,-0.2700891510594993
5502751.375687843,99.96351026730515,-0.2955283384308816,100.03648973269485,-0.6523640948648024,0.654295570234848,0.2708790899790293,-0.2700794570388781
6003001.500750375,99.96023077204636,-0.2946808731762942,100.03976922795364,-0.652371266893482,0.6542972798125517,0.2708672253809214,-0.27006989090998235
6503251.625812906,99.9569610990691,-0.293760627064486,100.0430389009309,-0.6523786641263323,0.6542987382264435,0.2708552941587695,-0.27006045503589127
7003501.750875437,99.95370205592359,-0.2927678273796409,100.04629794407641,-0.6523862847605413,0.6542999450862946,0.27084329926385625,-0.27005115174773653
7503751.8759379685,99.95045444753468,-0.2917027193253667,100.04954555246532,-0.6523941269375365,0.6543009000641351,0.2708312436633612,-0.27004198334412594
8004002.001000499,99.94721907600302,-0.29056556596412175,100.05278092399698,-0.6524021887434199,0.6543016028943641,0.2708191303396238,-0.2700329520905747
8504252.12606303,99.94399674040699,-0.2893566481522666,100.05600325959301,-0.6524104682094176,0.6543020533738454,0.27080696228940193,-0.27002406021894537
9004502.251125563,99.94078823660533,-0.2880762644706914,100.05921176339467,-0.6524189633123435,0.654302251361986,0.2707947425231269,-0.2700153099268945
9504752.376188094,99.93759435704055,-0.28672473115103847,100.06240564295945,-0.6524276719750782,0.6543021967808008,0.2707824740641549,-0.2700067033773293
10005002.501250625,99.93441589054329,-0.2853023819976645,100.06558410945671,-0.6524365920670603,0.6543018896149604,0.2707701599480152,-0.26999824269787126
10505252.626313156,99.93125362213738,-0.28380956830511894,100.06874637786262,-0.6524457214047926,0.6543013299118233,0.2707578032216546,-0.26998992998032895
11005502.751375686,99.92810833284604,-0.2822466587714514,100.07189166715396,-0.6524550577523612,0.6543005177814525,0.27074540694268,-0.2699817672801791
11505752.876438217,99.92498079949898,-0.28061403940710894,100.07501920050102,-0.6524645988219694,0.6542994533966167,0.27073297417859743,-0.2699737566160568
12006003.00150075,99.9218717945405,-0.27891211343962136,100.0781282054595,-0.652474342274485,0.6542981369927746,0.2707205080060485,-0.26996589996925446
12506253.12656328,99.91878208583867,-0.2771413012139612,100.08121791416133,-0.6524842857199993,0.6542965688680447,0.27070801151004453,-0.2699581992832293
13006503.251625812,99.91571243649581,-0.2753020400888004,100.08428756350419,-0.6524944267184023,0.654294749383158,0.270695487783199,-0.26995065646312094
13506753.376688343,99.9126636046599,-0.27339478432844144,100.0873363953401,-0.6525047627799679,0.6542926789613956,0.2706829399249574,-0.2699432733752774
14007003.501750873,99.90963634333737,-0.27142000499063473,100.09036365666263,-0.6525152913659553,0.6542903580885101,0.2706703710408255,-0.2699360518467909
14507253.626813406,99.90663140020716,-0.26937818981025047,100.09336859979284,-0.6525260098892212,0.6542877873126309,0.27065778424159603,-0.26992899366504336
15007503.751875937,99.90364951743594,-0.26726984307875756,100.09635048256406,-0.6525369157148453,0.6542849672441543,0.27064518264257387,-0.2699221005772604
15507753.876938468,99.90069143149496,-0.2650954855197615,100.09930856850504,-0.6525480061607688,0.6542818985556165,0.27063256936280033,-0.2699153742900769
16008004.002000999,99.89775787297806,-0.2628556541603359,100.10224212702194,-0.6525592784984454,0.654278581981552,0.27061994752427593,-0.26990881646911064
16508254.127063531,99.89484956642124,-0.2605509021984019,100.10515043357876,-0.6525707299535041,0.6542750183183353,0.270607320251183,-0.26990242873854714
17008504.25212606,99.89196723012375,-0.2581817988660973,100.10803276987625,-0.6525823577064248,0.6542712084240071,0.27059469066910696,-0.2698962126807337
17508754.377188593,99.88911157597063,-0.2557489292891873,100.11088842402937,-0.6525941588932256,0.6542671532180837,0.2705820619042577,-0.26989016983578434
18009004.502251126,99.88628330925694,-0.25325289434258497,100.11371669074306,-0.6526061306061623,0.6542628536813527,0.2705694370826909,-0.2698843017011941
18509254.627313655,99.88348312851345,-0.25069431050180097,100.11651687148655,-0.6526182698944399,0.6542583108556502,0.2705568193295283,-0.2698786097314647
